variable_code,variable_long_name,time_frequency,mip_table,total_size_GB,number_of_downloads
thetao,Sea Water Potential Temperature,mon,Omon,548378.54,576450
ua,Eastward Wind,6hrPt,6hrLev,543534.49,52612
va,Northward Wind,6hrPt,6hrLev,536347.39,47963
ta,Air Temperature,6hrPt,6hrLev,498150.14,54057
ua,Eastward Wind,day,day,462952.96,325322
hus,Specific Humidity,6hrPt,6hrLev,453999.20,39810
va,Northward Wind,day,day,434403.58,303820
pr,Precipitation,day,day,379617.94,1586840
vo,Sea Water Y Velocity,mon,Omon,338957.79,327637
uo,Sea Water X Velocity,mon,Omon,298302.50,288861
ta,Air Temperature,day,day,296095.14,284741
hus,Specific Humidity,day,day,265216.64,186090
so,Sea Water Salinity,mon,Omon,264654.63,337978
zg,Geopotential Height,day,day,238811.73,242168
tas,Near-Surface Air Temperature,day,day,201195.45,1097589
tasmax,Daily Maximum Near-Surface Air Temperature,day,day,197697.94,1135521
ua,Eastward Wind,6hrPt,6hrPlevPt,178559.93,56964
ua,Eastward Wind,mon,Amon,177183.84,1017862
va,Northward Wind,6hrPt,6hrPlevPt,175056.88,54102
va,Northward Wind,mon,Amon,174922.73,924081
hur,Relative Humidity,day,day,173657.07,97519
va,Northward Wind,day,CFday,172082.91,14432
tasmin,Daily Minimum Near-Surface Air Temperature,day,day,167679.91,977115
ua,Eastward Wind,day,CFday,163161.47,14475
wap,Omega (=dp/dt),day,day,159116.34,90282
ta,Air Temperature,6hrPt,6hrPlevPt,149420.96,47162
tos,Sea Surface Temperature,day,Oday,144220.31,202430
hus,Specific Humidity,day,CFday,141290.13,12109
hur,Relative Humidity,day,CFday,138200.57,13854
wo,Sea Water Vertical Velocity,mon,Omon,137704.54,87919
pr,Precipitation,3hr,3hr,137264.65,115612
ta,Air Temperature,mon,Amon,124314.84,873198
zg,Geopotential Height,6hrPt,6hrPlevPt,122999.61,22948
ta,Air Temperature,day,CFday,117616.61,11555
zg,Geopotential Height,day,CFday,117160.74,11428
hus,Specific Humidity,mon,Amon,110880.31,663799
hus,Specific Humidity,6hrPt,6hrPlevPt,107418.96,11233
zg,Geopotential Height,mon,Amon,106824.79,873238
wap,Omega (=dp/dt),day,CFday,105882.99,9779
hurs,Near-Surface Relative Humidity,day,day,91200.39,411069
wap,Omega (=dp/dt),mon,Amon,89955.58,426691
psl,Sea Level Pressure,day,day,88927.15,460122
vmo,Ocean Mass Y Transport,mon,Omon,82267.69,88358
umo,Ocean Mass X Transport,mon,Omon,79544.55,86755
no3,Dissolved Nitrate Concentration,mon,Omon,76979.90,29854
sfcwind,Near-Surface Wind Speed,day,day,71606.29,286412
pr,Precipitation,1hr,E1hr,71327.97,14001
ua,Eastward Wind,day,Eday,68686.10,26553
hus,Specific Humidity,day,Eday,67953.34,20216
po4,Total Dissolved Inorganic Phosphorus Concentration,mon,Omon,65228.73,19528
wmo,Upward Ocean Mass Transport,mon,Omon,65209.00,68189
vas,Northward Near-Surface Wind,3hrPt,3hr,65162.01,48595
tas,Near-Surface Air Temperature,3hrPt,3hr,65050.51,64811
uas,Eastward Near-Surface Wind,3hrPt,3hr,64253.77,47093
cli,Mass Fraction of Cloud Ice,day,CFday,61953.49,6906
va,Northward Wind,day,Eday,61941.51,22774
